message,timestamp,severity,tags,attributes
[internal] load build context,2026-03-27T04:08:01.845917110Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:01.827145817Z"",""digest"":""sha256:17a9ea0fd3fd0985b4d3373f99a44a07d8e49dc8271a2d21857f40feb245d726"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.827099519Z"",""type"":""vertex""}"
[1/7] FROM docker.io/library/python:3.11-slim@sha256:9358444059ed78e2975ada2c189f1c1a3144a5dab6f35bff8c981afb38946634,2026-03-27T04:08:01.853030539Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:01.833976207Z"",""digest"":""sha256:9ba76bd38b2ad80db39b44e92016e0b3126074ee3e17332d1f86d972f51f1839"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.827033461Z"",""type"":""vertex""}"
[internal] load build context,2026-03-27T04:08:01.854353209Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:17a9ea0fd3fd0985b4d3373f99a44a07d8e49dc8271a2d21857f40feb245d726"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.835599478Z"",""type"":""vertex""}"
[internal] load build context,2026-03-27T04:08:01.908356243Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:01.889323863Z"",""digest"":""sha256:17a9ea0fd3fd0985b4d3373f99a44a07d8e49dc8271a2d21857f40feb245d726"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.835599478Z"",""type"":""vertex""}"
[2/7] RUN apt-get update && apt-get install -y --no-install-recommends     ca-certificates     && rm -rf /var/lib/apt/lists/*,2026-03-27T04:08:01.920911791Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""cached"":true,""completed"":""2026-03-27T04:08:01.90157204Z"",""digest"":""sha256:ccb63e802c65bcfc1a63e9472b5cc8379ea551495818a2a944e9bcd472127211"",""inputs"":[""sha256:9ba76bd38b2ad80db39b44e92016e0b3126074ee3e17332d1f86d972f51f1839""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.90157204Z"",""type"":""vertex""}"
[3/7] WORKDIR /app,2026-03-27T04:08:01.920993257Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""cached"":true,""completed"":""2026-03-27T04:08:01.90157204Z"",""digest"":""sha256:30a1c289898a33799a694c73059ef85a704d6beca461e7bddc12c85b3786a39c"",""inputs"":[""sha256:ccb63e802c65bcfc1a63e9472b5cc8379ea551495818a2a944e9bcd472127211""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.90157204Z"",""type"":""vertex""}"
[4/7] COPY requirements.txt .,2026-03-27T04:08:01.921019065Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""cached"":true,""completed"":""2026-03-27T04:08:01.90157204Z"",""digest"":""sha256:2e8327f0b3c0dabb418b658351a234fffa8d84fe286fff043101ea438ab3d5cb"",""inputs"":[""sha256:30a1c289898a33799a694c73059ef85a704d6beca461e7bddc12c85b3786a39c"",""sha256:17a9ea0fd3fd0985b4d3373f99a44a07d8e49dc8271a2d21857f40feb245d726""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.90157204Z"",""type"":""vertex""}"
[5/7] RUN pip install --no-cache-dir -r requirements.txt,2026-03-27T04:08:01.921038504Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""cached"":true,""completed"":""2026-03-27T04:08:01.901633023Z"",""digest"":""sha256:610efffcf94357abc1b293c99e6e2cb6c92e78a175301ab82cd572fe3dada49a"",""inputs"":[""sha256:2e8327f0b3c0dabb418b658351a234fffa8d84fe286fff043101ea438ab3d5cb""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.90157204Z"",""type"":""vertex""}"
[6/7] COPY . .,2026-03-27T04:08:01.921065282Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:34b28fdb6c327bbdfb108846465b2bf82704818262ccd208e27150548d15fa46"",""inputs"":[""sha256:610efffcf94357abc1b293c99e6e2cb6c92e78a175301ab82cd572fe3dada49a"",""sha256:17a9ea0fd3fd0985b4d3373f99a44a07d8e49dc8271a2d21857f40feb245d726""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.901765873Z"",""type"":""vertex""}"
[6/7] COPY . .,2026-03-27T04:08:07.492794820Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:07.473840011Z"",""digest"":""sha256:34b28fdb6c327bbdfb108846465b2bf82704818262ccd208e27150548d15fa46"",""inputs"":[""sha256:610efffcf94357abc1b293c99e6e2cb6c92e78a175301ab82cd572fe3dada49a"",""sha256:17a9ea0fd3fd0985b4d3373f99a44a07d8e49dc8271a2d21857f40feb245d726""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:01.901765873Z"",""type"":""vertex""}"
